Key,Context,en-US,pt-BR
assessment.complete.buttons.closeWindow,assessment.complete.buttons,Close Window,Fechar Janela
assessment.complete.congratulations,assessment.complete,Congratulations{{name}}!,Parabéns{{name}}!
assessment.complete.congratulationsWithName,assessment.complete,"Congratulations, {{name}}!","Parabéns, {{name}}!"
assessment.complete.feedback,assessment.complete,Your feedback is valuable and helps improve our organization's agile practices.,Seu feedback é valioso e ajuda a melhorar as práticas ágeis de nossa organização.
assessment.complete.footer,assessment.complete,Questions or concerns? Contact your HR department for assistance.,Dúvidas ou preocupações? Entre em contato com seu departamento de RH para assistência.
assessment.complete.message,assessment.complete,You have successfully completed your assessment{{assessmentName}}.,Você concluiu com sucesso sua avaliação{{assessmentName}}.
assessment.complete.messageWithAssessment,assessment.complete,You have successfully completed your assessment for {{assessmentName}}.,Você concluiu com sucesso sua avaliação para {{assessmentName}}.
assessment.complete.title,assessment.complete,Assessment Complete!,Avaliação Concluída!
assessment.complete.whatsNext.contact,assessment.complete.whatsNext,You may be contacted for follow-up discussions,Você pode ser contatado para discussões de acompanhamento
assessment.complete.whatsNext.review,assessment.complete.whatsNext,Your HR team will review the results,Sua equipe de RH revisará os resultados
assessment.complete.whatsNext.saved,assessment.complete.whatsNext,Your responses have been securely saved,Suas respostas foram salvas com segurança
assessment.complete.whatsNext.thanks,assessment.complete.whatsNext,Thank you for your honest and thoughtful responses,Obrigado por suas respostas honestas e reflexivas
assessment.complete.whatsNext.title,assessment.complete.whatsNext,What's Next?,O Que Acontece Agora?
assessment.errors.employeeValidationFailed,assessment.errors,Failed to validate employee for assessment,Falha ao validar funcionário para avaliação
assessment.errors.invalidInvitation,assessment.errors,Invalid or expired invitation link,Link de convite inválido ou expirado
assessment.errors.loadFailed,assessment.errors,Failed to load assessment,Falha ao carregar avaliação
assessment.errors.networkError,assessment.errors,Network error. Please check your connection.,Erro de rede. Verifique sua conexão.
assessment.errors.noAssessmentFound,assessment.errors,No assessment found for this employee,Nenhuma avaliação encontrada para este funcionário
assessment.errors.notReady,assessment.errors,Assessment Not Ready,Avaliação Não Está Pronta
assessment.errors.notReadyMessage,assessment.errors,We couldn't prepare your assessment. Please try again.,Não conseguimos preparar sua avaliação. Tente novamente.
assessment.errors.returnToInvitation,assessment.errors,Return to Invitation,Retornar ao Convite
assessment.errors.saveFailed,assessment.errors,Failed to save answer,Falha ao salvar resposta
assessment.errors.sessionExpired,assessment.errors,Your session has expired. Please refresh the page.,Sua sessão expirou. Atualize a página.
assessment.errors.validationFailed,assessment.errors,Validation failed,Falha na validação
assessment.invitation.buttons.accessAssessment,assessment.invitation.buttons,Access My Assessment,Acessar Minha Avaliação
assessment.invitation.buttons.continueAssessment,assessment.invitation.buttons,Continue Assessment,Continuar Avaliação
assessment.invitation.buttons.startAssessment,assessment.invitation.buttons,Start Assessment,Iniciar Avaliação
assessment.invitation.buttons.validating,assessment.invitation.buttons,Validating...,Validando...
assessment.invitation.form.description,assessment.invitation.form,{{matrixDescription}},{{matrixDescription}}
assessment.invitation.form.emailInvalid,assessment.invitation.form,Invalid email address,Endereço de email inválido
assessment.invitation.form.emailLabel,assessment.invitation.form,Enter your email address to access your assessment:,Digite seu endereço de email para acessar sua avaliação:
assessment.invitation.form.emailNotFound,assessment.invitation.form,"We couldn't find your assessment invitation. Please check that you're using the same email address that HR used to invite you, or contact your HR department for assistance.","Não conseguimos encontrar seu convite de avaliação. Verifique se está usando o mesmo endereço de email que o RH usou para convidá-lo, ou entre em contato com seu departamento de RH para assistência."
assessment.invitation.form.emailPlaceholder,assessment.invitation.form,your.email@company.com,seu.email@empresa.com
assessment.invitation.form.emailRequired,assessment.invitation.form,Email is required,Email é obrigatório
assessment.invitation.form.helpText,assessment.invitation.form,Use the same email address that HR used to send you this invitation.,Use o mesmo endereço de email que o RH usou para enviar este convite.
assessment.invitation.form.needHelp,assessment.invitation.form,Need help? Contact your HR department.,Precisa de ajuda? Entre em contato com seu departamento de RH.
assessment.invitation.form.title,assessment.invitation.form,Assessment: {{matrixName}},Avaliação: {{matrixName}}
assessment.invitation.form.validationFailed,assessment.invitation.form,Failed to validate email,Falha ao validar email
assessment.invitation.title,assessment.invitation,Employee Assessment Invitation,Convite para Avaliação de Funcionário
assessment.invitation.validation.contactHR,assessment.invitation.validation,Please contact your HR department for a new invitation link.,Entre em contato com seu departamento de RH para um novo link de convite.
assessment.invitation.validation.employeeNotFound,assessment.invitation.validation,"We couldn't find your assessment invitation. Please check that you're using the same email address that HR used to invite you, or contact your HR department for assistance.","Não conseguimos encontrar seu convite de avaliação. Verifique se está usando o mesmo endereço de e-mail que o RH usou para convidá-lo, ou entre em contato com seu departamento de RH para assistência."
assessment.invitation.validation.error,assessment.invitation.validation,Failed to validate invitation link,Falha ao validar link de convite
assessment.invitation.validation.failedToLoadMatrix,assessment.invitation.validation,Failed to load assessment details,Falha ao carregar detalhes da avaliação
assessment.invitation.validation.invalid,assessment.invitation.validation,Invalid Invitation,Convite Inválido
assessment.invitation.validation.invalidMessage,assessment.invitation.validation,Invalid or expired invitation link,Link de convite inválido ou expirado
assessment.invitation.validation.validating,assessment.invitation.validation,Validating Invitation,Validando Convite
assessment.invitation.validation.validatingMessage,assessment.invitation.validation,Please wait while we validate your invitation link...,Aguarde enquanto validamos seu link de convite...
assessment.invitation.validation.validationFailed,assessment.invitation.validation,Failed to validate email,Falha ao validar e-mail
assessment.invitation.welcome.assessmentStatus,assessment.invitation.welcome,Assessment Status,Status da Avaliação
assessment.invitation.welcome.beforeYouBegin,assessment.invitation.welcome,Before You Begin,Antes de Começar
assessment.invitation.welcome.continueMessage,assessment.invitation.welcome,Welcome back! You can continue your assessment where you left off.,Bem-vindo de volta! Você pode continuar sua avaliação de onde parou.
assessment.invitation.welcome.greeting,assessment.invitation.welcome,"Hello, {{name}}!","Olá, {{name}}!"
assessment.invitation.welcome.instructions.honesty,assessment.invitation.welcome.instructions,Answer all questions honestly and thoughtfully,Responda todas as perguntas de forma honesta e reflexiva
assessment.invitation.welcome.instructions.save,assessment.invitation.welcome.instructions,You can save and return to complete it later if needed,Você pode salvar e retornar para completar mais tarde se necessário
assessment.invitation.welcome.instructions.time,assessment.invitation.welcome.instructions,Set aside adequate time to complete the assessment,Reserve tempo adequado para completar a avaliação
assessment.invitation.welcome.message,assessment.invitation.welcome,{{message}},{{message}}
assessment.invitation.welcome.needHelp,assessment.invitation.welcome,Need help? Contact your HR department.,Precisa de ajuda? Entre em contato com seu departamento de RH.
assessment.invitation.welcome.startMessage,assessment.invitation.welcome,You can now begin your assessment. Please set aside adequate time to complete it thoughtfully.,Você pode começar sua avaliação agora. Reserve tempo adequado para completá-la de forma reflexiva.
assessment.invitation.welcome.title,assessment.invitation.welcome,Welcome to Your Assessment,Bem-vindo à Sua Avaliação
assessment.status.completed,assessment.status,Completed,Concluído
assessment.status.confirmed,assessment.status,Confirmed,Confirmado
assessment.status.inProgress,assessment.status,In Progress,Em Progresso
assessment.status.in_progress,assessment.status,In Progress,Em Progresso
assessment.status.invited,assessment.status,Invited,Convidado
assessment.taking.buttons.complete,assessment.taking.buttons,Complete Assessment,Finalizar Avaliação
assessment.taking.buttons.next,assessment.taking.buttons,Next Question,Próxima Pergunta
assessment.taking.buttons.saving,assessment.taking.buttons,Saving...,Salvando...
assessment.taking.buttons.tryAgain,assessment.taking.buttons,Try Again,Tentar Novamente
assessment.taking.error,assessment.taking,Error Loading Assessment,Erro ao Carregar Avaliação
assessment.taking.errorMessage,assessment.taking,Failed to load assessment,Falha ao carregar avaliação
assessment.taking.loading,assessment.taking,Loading Assessment,Carregando Avaliação
assessment.taking.loadingMessage,assessment.taking,Please wait while we load your assessment...,Aguarde enquanto carregamos sua avaliação...
assessment.taking.progress.current,assessment.taking.progress,{{current}} of {{total}},{{current}} de {{total}}
assessment.taking.progress.percentage,assessment.taking.progress,{{percentage}}% Complete,{{percentage}}% Completo
assessment.taking.progress.title,assessment.taking.progress,Assessment Progress,Progresso da Avaliação
assessment.taking.question.category,assessment.taking.question,Category,Categoria
assessment.taking.question.notes,assessment.taking.question,Additional Notes (Optional),Observações Adicionais (Opcional)
assessment.taking.question.notesPlaceholder,assessment.taking.question,Add any additional comments or context...,Adicione comentários ou contexto adicional...
assessment.taking.question.number,assessment.taking.question,Question {{number}},Pergunta {{number}}
assessment.taking.question.pillar,assessment.taking.question,Pillar,Pilar
assessment.taking.question.required,assessment.taking.question,Please provide an answer before continuing.,"Por favor, forneça uma resposta antes de continuar."
assessment.taking.question.selectRating,assessment.taking.question,Select rating,Selecione a avaliação
assessment.taking.question.starRatingHint,assessment.taking.question,Click on the stars to rate from 1 to {{maxStars}},Clique nas estrelas para avaliar de 1 a {{maxStars}}
assessmentMatrix.actions.closeDashboard,assessmentMatrix.actions,Close Dashboard,Fechar Dashboard
assessmentMatrix.actions.viewDashboard,assessmentMatrix.actions,View assessment dashboard,Ver dashboard de avaliação
assessmentMatrix.actions.viewStructure,assessmentMatrix.actions,View structure details,Ver detalhes da estrutura
assessmentMatrix.columns.description,assessmentMatrix.columns,Description,Descrição
assessmentMatrix.columns.name,assessmentMatrix.columns,Name,Nome
assessmentMatrix.columns.performanceCycle,assessmentMatrix.columns,Performance Cycle,Ciclo de Performance
assessmentMatrix.columns.questions,assessmentMatrix.columns,Questions,Perguntas
assessmentMatrix.columns.structure,assessmentMatrix.columns,Structure,Estrutura
assessmentMatrix.dashboard.assignedToAssessment,assessmentMatrix.dashboard,Assigned to assessment,Atribuídos para avaliação
assessmentMatrix.dashboard.columns.actions,assessmentMatrix.dashboard.columns,Actions,Ações
assessmentMatrix.dashboard.columns.completed,assessmentMatrix.dashboard.columns,Completed,Concluído
assessmentMatrix.dashboard.columns.inProgress,assessmentMatrix.dashboard.columns,In Progress,Em Andamento
assessmentMatrix.dashboard.columns.progress,assessmentMatrix.dashboard.columns,Progress,Progresso
assessmentMatrix.dashboard.columns.team,assessmentMatrix.dashboard.columns,Team,Equipe
assessmentMatrix.dashboard.columns.totalEmployees,assessmentMatrix.dashboard.columns,Total Employees,Total de Funcionários
assessmentMatrix.dashboard.completed,assessmentMatrix.dashboard,Completed,Concluído
assessmentMatrix.dashboard.completionRate,assessmentMatrix.dashboard,Completion rate: {{rate}}%,Taxa de conclusão: {{rate}}%
assessmentMatrix.dashboard.inProgress,assessmentMatrix.dashboard,In Progress,Em Andamento
assessmentMatrix.dashboard.loading,assessmentMatrix.dashboard,Loading Assessment Dashboard,Carregando Dashboard de Avaliação
assessmentMatrix.dashboard.loadingMessage,assessmentMatrix.dashboard,"Please wait while we fetch the data for ""{{matrixName}}""...","Aguarde enquanto buscamos os dados para ""{{matrixName}}""..."
